
************************************************************
01月01日

1085年1月1日 《资治通鉴》编成
1785年1月4日 雅各布・格林诞辰
1921年1月4日 沈雁冰、郑振铎等发起成立文学研究会
1935年1月4日 红军突破乌江天险
1948年1月4日 缅甸独立日
1960年1月4日 欧洲自由贸易联盟成立
1969年1月4日 消除种族歧视公约生效
1979年1月4日 中央纪委成立
1981年1月4日 葛洲坝大江截流工程胜利合龙
1992年1月4日 中亚五国协商建立共同市场
1992年1月4日 我国与乌克兰建交
1992年1月4日 我国与塔吉克斯坦建交
1960年1月4日 法国作家加缪在车祸中丧生
1896年1月4日 中国共产党创始人之一陈潭秋诞辰
1917年1月4日 蔡元培出任北京大学校长
1965年1月4日 第三届全国人大第一次会议闭幕 周恩来首次提出四个现代化
1999年1月4日 重庆綦江步行虹桥发生整体垮塌事故  40人死亡

************************************************************
01月05日

1896年1月5日 X射线公诸于世
1900年1月5日 京剧表演艺术家荀慧生诞辰
1914年1月5日 福特付给工人日薪5美元产量猛增
1919年1月5日 法西斯党――德国工人党成立
1930年1月5日 毛泽东写作《星星之火，可以燎原》
1938年1月5日 西班牙国王卡洛斯诞辰
1930年1月5日 斯大林开始实行农庄集体化，成立农业合作社
1957年1月5日 艾森豪威尔提出企图控制中东的侵略扩张计划
1948年1月5日 中国民主同盟一届三中全会决定恢复民盟组织
1999年1月5日 国家组建缉私警察队伍
1992年1月5日 我国与吉尔吉斯斯坦建交
1942年1月5日 联合国推举蒋介石任中国战区最高统帅
1975年1月5日 邓小平主持中央工作，开始整顿

************************************************************
01月06日

1412年1月6日 法国女英雄贞德
1850年1月6日 德国社会民主党首领伯恩施坦诞辰
1884年1月6日 现代遗传学奠基人孟德尔逝世
1938年1月6日 新四军军部成立
1975年1月6日 我国与博茨瓦纳建交
1987年1月6日 《人民日报》发表社论《旗帜鲜明地反对资产阶级自由化》
1992年1月6日 我国与土库曼斯坦建交
1959年1月6日 国际海事组织成立
1986年1月6日 美国《时代》周刊选邓小平作封面人物
1997年1月6日 我国在世界上首次成功构建水稻基因组物理全图
1972年1月6日 中央军委副主席、共和国元帅陈毅逝世
1941年1月6日 国民党制造震惊中外的“皖南事变”

************************************************************
01月07日

1912年1月7日 南非非洲人国民大会成立
1919年1月7日 阿根廷“血腥的一周”开始，6千人丧生
1931年1月7日 中共六届四中全会召开
1933年1月7日 中共临时中央由上海迁至瑞金
1946年1月7日 “三人军事小组”建立
1972年1月7日 中国第一枚实用氢弹试验成功
1979年1月7日 越南军队占领柬埔寨
1988年1月7日 社会活动家廖梦醒逝世
1991年1月7日 林莉获我国第一个世界游泳冠军
1992年1月7日 韩国宣布暂停美韩军事演习
2000年1月7日 新华社香港分社、新华社澳门分社分别更名为中央人民政府驻港联络办、中央人民政府驻澳联络办
1989年1月7日 日本裕仁天皇病逝
1932年1月7日 马其诺防线

************************************************************
01月08日

1642年1月8日 意大利天文学家伽利略逝世
1905年1月8日 世界上最大的钻石在南非发现
1854年1月8日 《天演论》译者严复诞辰
1942年1月8日 著名物理学家史蒂芬・霍金诞辰
1954年1月8日 中共中央号召发展农业生产合作社
1975年1月8日 中共十届二中全会开幕，补选邓小平政治局常委
1979年1月8日 我国与吉布提建交
2001年1月8日 新世纪诞生的第一条铁路新线――西康铁路通车运营
1996年1月8日 法国总统密特朗逝世
1976年1月8日 周恩来逝世
1959年1月8日 戴高乐就任法兰西第五共和国总统
1931年1月8日 特级英雄黄继光诞辰
1938年1月8日 白求恩率医疗队援助中国

************************************************************
01月09日

1283年1月9日 文天祥殉难
1946年1月9日 中国代表在远东国际军事法庭参加审判战犯
1964年1月9日 巴拿马的“全国哀悼日”
1968年1月9日 阿拉伯石油输出国组织成立
1983年1月9日 孔塔多拉集团形成
1972年1月9日 建筑学家梁思成逝世
1989年1月9日 英国米德兰航空公司的波音737飞机失事
1983年1月9日 曾侯乙墓编钟复制成功

************************************************************
01月10日

1914年1月10日 商务印书馆创办人夏瑞芳逝世
1920年1月10日 国际联盟成立
1946年1月10日 第一届联合国大会第一期会议举行
1971年1月10日 法国著名时装设计师科科・夏奈尔去世
1964年1月10日 我国与突尼斯建交
2000年1月10日 美国在线联姻时代华纳
2002年1月10日 中国“民俗学之父”钟敬文病逝
1946年1月10日 “政协会议”否定国民党独裁统治
1949年1月10日 淮海战役结束

************************************************************
01月11日

1868年1月11日 蔡元培诞辰
1851年1月11日 太平天国金田起义
1885年1月11日 中日友好先驱者之一内山完造诞辰
1903年1月11日 伟大的国际主义战士罗生特诞辰
1926年1月11日 张作霖宣布东三省独立
1943年1月11日 中英中美签订新约废除在华治外法权
1962年1月11日 “七千人大会”召开
1938年1月11日 《新华日报》创刊

************************************************************
01月12日

1875年1月12日 清同治帝载淳病逝
1949年1月12日 第一次中东战争结束
1983年1月12日 我国与安哥拉建交
1994年1月12日 我国与莱索托王国恢复外交关系
2002年1月12日 首次全国范围价格听证会――铁路旅客列车价格听证会举行
1995年1月12日 何梁何利设立科学奖励基金
1922年1月12日 香港海员大罢工
1876年1月12日 美国作家杰克・伦敦诞辰
1947年1月12日 刘胡兰英勇就义

************************************************************
01月13日

1904年1月13日 日俄战争爆发
1962年1月13日 东方歌舞团成立
1978年1月13日 长江源头及长度重新得到确认
1982年1月13日 中共中央和国务院进行机构改革
1989年1月13日 《国家重点保护野生动物名录》颁布
1993年1月13日 《禁止化学武器公约》签订
1997年1月13日 假冒他人名义向我国走私“洋垃圾”  威廉・平・陈受到法律制裁
2001年1月13日 中美洲发生7.6级地震  萨尔瓦多死亡355人
1988年1月13日 蒋经国在台北逝世
1975年1月13日 周恩来重申发展国民经济的两步设想

************************************************************
01月14日

1784年1月14日 美国独立战争正式结束
1943年1月14日 卡萨布兰卡会议召开
1894年1月14日 世界著名和平战士爱伦堡诞生
1947年1月14日 国际主义战士、日本作家绿川英子逝世
1940年1月14日 玛格丽特二世登基　丹麦历史上第二位女君主诞生
1949年1月14日 毛泽东发表时局声明
1956年1月14日 知识分子已是工人阶级的一部分
1963年1月14日 法国禁止英国进入欧洲共同市场
1983年1月14日 匈牙利爆发特大足球彩票丑闻
1983年1月14日 麦当劳创始人雷・Ａ・克罗克逝世
2000年1月14日 人类成功克隆猴
1965年1月14日 中共中央开展“四清”运动
1907年1月14日 秋瑾创办《中国女报》

************************************************************
01月15日

1919年1月15日 陈独秀提倡“德先生”、“赛先生”
1919年1月15日 李卜克内西和卢森堡被杀
1925年1月15日 东征宣言
1929年1月15日 美国民权运动领袖小马丁・路德・金诞辰
1949年1月15日 中国人民解放军统一改称
1949年1月15日 天津解放
1951年1月15日 中国人民解放军军事学院在南京成立
1971年1月15日 京剧表演艺术家盖叫天逝世
1986年1月15日 国防大学正式成立
2000年1月15日 意一妇女一胞六胎
2000年1月15日 云南姚安发生六点五级地震
1959年1月15日 向秀丽牺牲
1935年1月15日 遵义会议召开
1622年1月15日 法国作家莫里哀诞辰

************************************************************
01月16日

1794年1月16日 英国史学家爱德华・吉本逝世
1906年1月16日 无线电发明家波波夫逝世
1945年1月16日 法国将雷诺汽车公司国有化
1969年1月16日 苏联两艘宇宙飞船第一次完成空中对接
1980年1月16日 邓小平提出80年代抓好三件事
1975年1月16日 葡萄牙同意安哥拉独立
1986年1月16日 胡愈之逝世
1979年1月16日 伊朗巴列维王朝被推翻

************************************************************
01月17日

395年1月17日 罗马帝国分裂为东、西罗马帝国
1706年1月17日 美国作家、科学家富兰克林诞辰
1600年1月17日 西班牙著名剧作家卡尔德隆诞辰
1897年1月17日 谭嗣同重要哲学著作《仁学》编写完成
1923年1月17日 蔡元培愤而辞去北大校长职务
1931年1月17日 左联五位作家被捕
1945年1月17日 瓦伦堡事件
1989年1月17日 首届陈嘉庚奖金颁奖
1997年1月17日 国家电力公司成立
2000年1月17日 “好学生”徐力不堪忍受学习重负杀死生母
1995年1月17日 日本阪神发生大地震
1933年1月17日 中共发布宣言：停止内战　一致抗日
1991年1月17日 “沙漠风暴”行动开始

************************************************************
01月18日

1689年1月18日 资产阶级国家学说的奠基人――孟德斯鸠
1871年1月18日 德意志帝国建立
1911年1月18日 黄兴在香港设置广州起义总指挥部
1918年1月18日 威尔逊提出解决战后问题的14点方案
1944年1月18日 苏军终于解除了列宁格勒之围
1950年1月18日 我国与越南建交
1988年1月18日 西南航空公司一客机在重庆失事 108人罹难
1992年1月18日 邓小平南巡
1919年1月18日 巴黎和会召开
1915年1月18日 日本向中国提出“21条要求”
1974年1月18日 “批林批孔”运动开始

************************************************************
01月19日

1904年1月19日 著名人类学家裴文中诞辰
1946年1月19日 远东国际军事法庭成立
1949年1月19日 俄国作家绥拉菲莫维奇逝世
1975年1月19日 人民日报报道我国有近1000万知识青年上山下乡
1988年1月19日 由台湾组织的第一个台湾返乡探亲团抵达北京
1931年1月19日 联合国副秘书长明石康诞辰
1736年1月19日 著名科学家瓦特诞辰
1929年1月19日 梁启超逝世

************************************************************
01月20日

1861年1月20日 清设立总理各国事务衙门
1892年1月20日 最早发现放射性的人――贝克勒尔
1934年1月20日 伪满实行帝制  溥仪又当皇帝
1941年1月20日 中共重建新四军军部
1953年1月20日 美国第34任总统艾森豪威尔就职
1955年1月20日 我国与阿富汗建交
1961年1月20日 美国第35任总统肯尼迪就职
1961年1月20日 中共中央关于调整国家管理体制的暂行规定
1969年1月20日 美国第37任总统尼克松就职
1981年1月20日 全国首届十佳运动员评选揭晓
1975年1月20日 美最大的汽车生产商削价销售汽车
1977年1月20日 美国第39任总统卡特就职
1992年1月20日 我国与白俄罗斯建交
1998年1月20日 第八世夏茸尕布活佛转世灵童认定
1924年1月20日 中国国民党第一次全国代表大会召开
1974年1月20日 西沙群岛自卫反击战
1993年1月20日 克林顿入主白宫
1986年1月20日 《中华人民共和国渔业法》通过并予公布

************************************************************
01月21日

1793年1月21日 法王路易十六被送上断头台
1870年1月21日 俄国杰出的哲学家、思想家、作家赫尔岑逝世
1936年1月21日 “爱江山还是爱美人”――英王爱德华八世的痛苦选择
1934年1月21日 中华苏维埃第二次全国代表大会召开
1951年1月21日 阿尔卑斯山发生巨大雪崩死亡329人
1960年1月21日 人类第一次将动物送入太空
1949年1月21日 蒋介石宣布引退
1976年1月21日 毛泽东提议华国锋任国务院代总理并主持中央日常工作
1977年1月21日 西藏昌都地区首次发现恐龙化石
1996年1月21日 北京西站开通运营
2002年1月21日 援阿重建国际会议开幕
1991年1月21日 周培源奖用金设立
1954年1月21日 世界第一艘核潜艇――“鹦鹉螺”号下水
1924年1月21日 列宁逝世
1937年1月21日 抗日红军大学易名抗日军政大学

************************************************************
01月22日

754年1月22日 鉴真东渡到达日本
1561年1月22日 第一个提出“知识就是力量”的人――培根
1788年1月22日 伟大的浪漫主义诗人拜伦诞辰
1905年1月22日 彼得堡的“流血星期日”
1924年1月22日 英国工党首次执政
1949年1月22日 中国共产党接管北平
1963年1月22日 法国联邦德国合作条约签订
1963年1月22日 甲壳虫乐队开始风靡英国
1973年1月22日 美国总统约翰逊逝世
1998年1月22日 美巴首脑会谈  讨论挽救中东和平进程的问题
1901年1月22日 维多利亚女王去世
1916年1月22日 《民国日报》创刊
1928年1月22日 湘南起义
1997年1月22日 奥尔布赖特出任美国首位女国务卿

************************************************************
01月23日

1368年1月23日 朱元璋建立明朝
1984年1月23日 阿根廷、智利签署《和平友好联合声明》
1891年1月23日 意大利共产党创始人葛兰西诞辰
1957年1月23日 世界上第一台醉酒呼吸分析仪首次在瑞典投入使用
1997年1月23日 韩国第二大钢铁企业韩宝钢铁公司破产
1996年1月23日 江泽民给上将军衔获得者授衔
1783年1月23日 《红与黑》的作者司汤达诞辰
1942年1月23日 女作家萧红病逝
1967年1月23日 中共中央决定人民解放军“支左”
1989年1月23日 亚洲卫星发射合同在京签署

************************************************************
01月24日

1924年1月24日 黄埔军校开始筹建
1938年1月24日 山东省政府主席韩复榘被处决
1956年1月24日 我国首次颁发科学奖金
1958年1月24日 英美科学家完成核聚变试验
1981年1月24日 波兰数百万人罢工，争取5天工作制
1984年1月24日 美国批准研制第一个永久性载人空间站计划
1984年1月24日 中国剧院建成
1986年1月24日 海曼猝死球场
1992年1月24日 我国与以色列建交
1994年1月24日 全国宣传思想工作会议召开
1965年1月24日 英国首相温斯顿・丘吉尔逝世
1984年1月24日 邓小平视察深圳等特区并题词

************************************************************
01月25日

1504年1月25日 意大利古代伟大艺术家米开朗琪罗完成大卫巨像雕刻
1587年1月25日 民族英雄戚继光病逝
1627年1月25日 近代化学的奠基人――波义尔
1911年1月25日 中国第一部专门刑法典颁布
1941年1月25日 日军制造潘家峪惨案，死难者1200余人
1949年1月25日 苏联及东欧5国发起成立经互会
1974年1月25日 无产阶级革命家王稼祥逝世
1983年1月25日 美、英、荷共同研制的红外天文卫星升空
1986年1月25日 美国同利比亚断交，冻结财产
1997年1月25日 会泽特大假酒中毒案审结  李荣平等五犯被执行枪决
1981年1月25日 最高人民法院特别法庭对林、江集团进行审判
1874年1月25日 英国小说家、戏剧家毛姆诞辰

************************************************************
01月26日

1841年1月26日 英军侵占香港
1910年1月26日 巴黎罗浮宫被洪水包围造成上亿美元损失
1923年1月26日 孙中山发表《孙文、越飞宣言》
1934年1月26日 德波签订《互不侵犯条约》
1939年1月26日 佛朗哥占领巴塞罗那，建立长达35年的独裁统治
1210年1月26日 陆游逝世
1952年1月26日 中共中央开展“三反”、“五反”运动
1953年1月26日 美国索尔克博士制成小儿麻痹症免疫新疫苗<br>
1953年1月26日 美国索尔克博士制成小儿麻痹症免疫新疫苗
1953年1月26日 国际海关日
1998年1月26日 山西朔州市发生特大假酒中毒案
1993年1月26日 瓦茨拉夫・哈韦尔当选捷克第一任总统
2001年1月26日 印度遭遇50年来最大地震死亡两万多人
1788年1月26日 澳大利亚国庆日
1950年1月26日 印度国庆日
1999年1月26日 约旦阿卜杜拉王储继承王位

************************************************************
01月27日

1142年1月27日 岳飞被害
1901年1月27日 意大利作曲家威尔第逝世
1822年1月27日 文明古国希腊独立
1926年1月27日 电视诞生
1937年1月27日 美国遭受严重水灾，100万人无家可归
1950年1月27日 我国建立统一税收制度
1973年1月27日 越美签定关于越南问题的巴黎协定
1982年1月27日 瓦尔德海姆获“联合国和平奖”
1997年1月27日 美科学家制造出原子激光
1998年1月27日 中国民乐除夕回荡维也纳（这是中国民族音乐历史上第一次在有“音乐圣殿”之称的金色大厅展现风采）
1999年1月27日 广西巨贪李乘龙一审被判处死刑
2002年1月27日 尼日利亚首都拉各斯大爆炸2000人丧生
1945年1月27日 苏军解放奥斯威辛集中营
1893年1月27日 宋庆龄诞辰
1964年1月27日 我国与法国建交
1756年1月27日 奥地利音乐大师莫扎特诞生

************************************************************
01月28日

1932年1月28日 “一・二八”上海事变
1939年1月28日 爱尔兰诗人叶芝逝世
1939年1月28日 苏联红军成立，立宪会议解散
1942年1月28日 中共中央制定根据地土地政策
1950年1月28日 中国戏曲学院成立
1997年1月28日 我国首条国际陆地光缆开通
1997年1月28日 中山舰沉没江底５８年后被整体打捞出水
2002年1月28日 我常驻世贸组织代表团在日内瓦开馆
1996年1月28日 驻香港部队组建完成
1930年1月28日 西班牙独裁者德里维拉辞职
1989年1月28日 十世班禅大师圆寂
1986年1月28日 “挑战者”号航天飞机爆炸

************************************************************
01月29日

1737年1月29日 北美独立战争时期的宣传鼓动家潘恩诞辰
1860年1月29日 俄国著名小说家、戏剧家契诃夫诞辰
1866年1月29日 《约翰・克利斯朵夫》的作者罗曼・罗兰诞辰
1899年1月29日 党的早期领导人、作家、翻译家瞿秋白诞辰
1901年1月29日 清廷下诏“变法”实行“新政”
1935年1月29日 中央红军四渡赤水
1963年1月29日 周恩来提出四个现代化
1979年1月29日 中共中央为地主、富农分子摘帽
1979年1月29日 邓小平副总理访问美国
1991年1月29日 井上靖――日本文坛巨星陨落
1903年1月29日 马君武等呼吁“排满”革命

************************************************************
01月30日

1649年1月30日 英国国王查理一世被处死
1882年1月30日 美国总统罗斯福诞辰
1914年1月30日 好莱坞成为世界电影中心
1933年1月30日 希特勒被任命为德国总理
1945年1月30日 古斯特洛夫号空前海难 7700人遇难
1946年1月30日 联合国大会在伦敦召开首次会议
1995年1月30日 江泽民提出进祖国和平统一进程的8点主张
2001年1月30日 华人赵小兰当上美国部长  成为美国历届政府中职位最高的华裔
1948年1月30日 印度圣雄甘地遇刺身亡
1969年1月30日 知名爱国人士李宗仁逝世
1992年1月30日 我国与摩尔多瓦建交

************************************************************
01月31日

1868年1月31日 美国化学家理查兹诞辰
1933年1月31日 英国作家高尔斯华绥逝世
1954年1月31日 北京――莫斯科直达旅客列车正式通车
1955年1月31日 中国卫生部提出适当节制生育
1972年1月31日 我国与马耳他建交
1981年1月31日 被伊朗扣压的52名人质回到美国
1997年1月31日 欧洲投资银行首次发行欧元债券
1949年1月31日 平津战役结束，北平和平解放
1943年1月31日 德军在斯大林格勒投降
1797年1月31日 奥地利著名音乐家舒柏特诞辰

************************************************************
02月01日

1805年2月1日 法国早期工人运动中杰出领袖布朗基诞辰
1764年2月1日 曹雪芹病逝
1901年2月1日 “影帝”克拉克・盖博诞辰
1902年2月1日 光绪帝下旨准许汉满通婚
1908年2月1日 葡萄牙国王卡洛斯一世遇刺身亡
1909年2月1日 万国禁烟会在上海召开
1913年2月1日 中国参加首届远东运动会
1932年2月1日 中华苏维埃共和国创立国家银行
1940年2月1日 中共确定今后的抗战任务
1946年2月1日 赖伊当选联合国首任秘书长
1925年2月1日 中共支持广东革命政府第一次东征
1946年2月1日 匈牙利共和国成立
1947年2月1日 中共不承认国民党政府一切对外协定
1952年2月1日 北京公审大贪污犯　两名官员被判死刑
1979年2月1日 伊朗宗教领袖霍梅尼回到伊朗
1984年2月1日 我国与荷兰恢复外交关系
1987年2月1日 人民币长城信用卡在北京首次发行
1997年2月1日 马斯哈多夫当选为车臣共和国总统
1976年2月1日 德国物理学家海森伯逝世
2003年2月1日 美国“哥伦比亚”号航天飞机降落时爆炸解体  七名宇航员已全部遇难
1662年2月1日 郑成功收复台湾
1942年2月1日 毛泽东作《整顿党的作风》的报告
1877年2月1日 教育家徐特立诞辰
2001年2月1日 中共中央国务院隆重举行国家科学技术奖励大会   王选、黄昆获国家最高科学技术奖
1931年2月1日 俄罗斯联邦前总统叶利钦诞辰

************************************************************
02月02日

496年2月2日 北魏改拓跋姓为元氏
1885年2月2日 苏联杰出统帅和军事理论家伏龙芝诞辰
1895年2月2日 威海卫被日军占领
1913年2月2日 世界最大的火车站――纽约中央火车站启用
1922年2月2日 华盛顿会议拒绝中国要求废除“二十一条”的要求
1937年2月2日 范长江赴陕北采访报道中国革命
1948年2月2日 上海发生“申九惨案”
1969年2月2日 我国著名数学家熊庆来逝世
1939年2月2日 陕甘宁边区成立生产委员会
1970年2月2日 著名学者伯特兰・罗素去世
1996年2月2日 李沛瑶不幸遇害
1997年2月2日 秦基伟同志逝世
1999年2月2日 国家经贸委发布首批淘汰落后产业目录　涉及10个行业114项内容
1943年2月2日 斯大林格勒战役结束
1960年2月2日 国务院要求妥善安置归国华侨
2000年2月2日 新疆生产建设兵团原副司令员陈忠严重违纪被开除党籍撤销职务
1958年2月2日 《人民日报》发表社论 提出“全国大跃进”
1949年2月2日 北平新华广播电台开始播音

************************************************************
02月03日

1809年2月3日 德国作曲家、钢琴家门德尔松诞辰
1899年2月3日 戏剧家、作家老舍诞辰
1924年2月3日 美国第25任总统威尔逊逝世
1952年2月3日 中共要求“三反”运动和整党运动相结合
1966年2月3日 中央文化革命小组拟定《二月提纲》
1988年2月3日 我国与乌拉圭建交
1993年2月3日 中共天津市委书记谭绍文逝世
1996年2月3日 云南丽江发生7级地震
1997年2月3日 南非永久宪法正式生效
2000年2月3日 日著名政治家二阶堂逝世
1995年2月3日 “发现”号航天飞机升空
1999年2月3日 杰出的经济、军事政治工作领导者余秋里逝世
1998年2月3日 美战机超低飞行  意缆车绳断人亡
1969年2月3日 阿拉法特成为巴勒斯坦武装力量领导人

************************************************************
02月04日

1898年2月4日 清政府印造昭信股票
1902年2月4日 美国著名飞行家林白诞辰
1922年2月4日 中国被迫签订《解决山东悬案条例》
1951年2月4日 中央人民政府发布没收资本家等财产的指示
1975年2月4日 大型水电站――刘家峡水电站建成
1983年2月4日 我国著名诗人萧三逝世
1986年2月4日 中共严禁党政机关和党政干部经商办企业
1997年2月4日 以军发生恶性空难事件  ７３名官兵死亡
1998年2月4日 阿富汗发生强烈地震
1999年2月4日 “中国南极长城站”站名在南极揭牌
1959年2月4日 我国与苏丹建交
1936年2月4日 获诺贝尔奖的美籍华人――丁肇中诞辰
1993年2月4日 相声大师侯宝林留下永恒的畅笑
1945年2月4日 雅尔塔会议召开

************************************************************
02月05日

1907年2月5日 经学大师俞樾逝世
1912年2月5日 民国政府第一银行――中国银行开业
1919年2月5日 “黄色国际”建立
1922年2月5日 风靡世界的美国杂志《读者文摘》创刊
1949年2月5日 毛泽东发表惩办战犯声明
1949年2月5日 中共中央指示私营工厂复工
1964年2月5日 中国第一例自体骨髓移植手术获成功
1957年2月5日 中国第一次公演西方歌剧
1967年2月5日 上海人民公社成立
1964年2月5日 中共中央发出通知，在全国开展“工业学大庆”运动
1970年2月5日 中共中央指示要求反对贪污盗窃、投机倒把
1988年2月5日 苏共中央为布哈林平反昭雪
1984年2月5日 国防部副部长粟裕逝世
1985年2月5日 直布罗陀陆地边界关闭16年后重新开放
1901年2月5日 摩根购并钢铁公司成为钢铁巨头
1994年2月5日 新中国现代纺织工业的主要奠基人钱之光逝世

************************************************************
02月06日

1802年2月6日 英国物理学家惠斯通诞辰
1689年2月6日 英国的“光荣革命”事件
1911年2月6日 美国总统里根诞辰
1937年2月6日 张国焘向中共中央检讨错误
1956年2月6日 国务院发布《关于推广普通话的指示》
1979年2月6日 中央广播电视大学在北京举行开学典礼
1987年2月6日 我国著名热带医学专家钟惠澜逝世
1998年2月6日 国家教委调整中小学教育教学 （删减教学内容  降低教学层次  缩小考试范围）
1999年2月6日 第四届亚冬会圆满落幕　中国代表团获金牌总数第一
1989年2月6日 波兰“圆桌会议”召开
2001年2月6日 我科学家成功克隆乳光牙基因
1998年2月6日 金钟泌说韩不同台湾发展官方关系
1928年2月6日 刑场上的婚礼――共产党员陈铁军与周文雍英勇就义
1995年2月6日 国家有杰出贡献的电影艺术家夏衍逝世

************************************************************
02月07日

1477年2月7日 《乌托邦》作者莫尔诞辰
1812年2月7日 英国著名作家狄更斯诞辰
1914年2月7日 北京政府统一币制
1920年2月7日 华裔电脑巨人――王安诞辰
1944年2月7日 回族英雄马本斋逝世
1931年2月7日 胡也频等5名左翼作家遇害
1966年2月7日 《人民日报》号召向焦裕禄同志学习
1974年2月7日 我国气象学家竺可桢逝世
1957年2月7日 我国与斯里兰卡建交
1979年2月7日 我国著名电影导演崔嵬逝世
1977年2月7日 “两个凡是”是何时提出的？
1981年2月7日 日本“北方领土日”
1984年2月7日 美国两名宇航员成功太空行走
1985年2月7日 昆明体育场发生死伤事件8人死亡
1997年2月7日 联合国环境署会议通过《内罗毕宣言》
1986年2月7日 海地终身总统杜瓦利埃下台
1980年2月7日 我国与哥伦比亚建交
1999年2月7日 约旦国王侯赛因病逝
1959年2月7日 朱德对农村办公共食堂提出异议
1959年2月7日 中苏签订经济合作协定
1947年2月7日 杨子荣活捉“座山雕”
1923年2月7日 京汉铁路工人大罢工

************************************************************
02月08日

1904年2月8日 日俄战争爆发
1926年2月8日 美国考古探察队在墨西哥发现玛雅人金字塔
1931年2月8日 中共发布土改政策，使农民获得更多的土地所有权
1834年2月8日 俄国化学家门捷列夫诞辰
1946年2月8日 金日成当选为朝鲜临时人民委员会委员长
1988年2月8日 我国著名经济学家许涤新逝世
1994年2月8日 新型运载火箭“长征三号甲”首次发射成功
1990年2月8日 九三学社名誉主席许德珩逝世
1999年2月8日 中国少年科学院成立
1998年2月8日 《简明华夏百科全书》出版
1979年2月8日 我国与葡萄牙建交
1902年2月8日 梁启超创办《新民丛报》

************************************************************
02月09日

1900年2月9日 世界网球赛戴维斯杯产生
1916年2月9日 中国足球队首次出国比赛
1919年2月9日 首次开创巴黎飞往伦敦的商业性飞行
1925年2月9日 上海日资纱厂工人举行大罢工
1928年2月9日 共产国际对中共作出新指示
1955年2月9日 中国民盟主席张澜逝世
1964年2月9日 龙梅和玉荣战胜暴风雪保护羊群
1947年2月9日 上海发生“二・九”血案
1980年2月9日 北京烤鸭店恢复“全聚德”老字号
1981年2月9日 我国第一座大型高通量原子反应堆建成
1981年2月9日 雅鲁泽尔斯基将军接任波兰总理
1982年2月9日 中央要求做好计划生育工作
1984年2月9日 苏共中央总书记安德罗波夫逝世
1995年2月9日 法国探险家德拉日完成横渡大西洋的壮举
1965年2月9日 中国政府表示尽一切力量援越抗美
1998年2月9日 我国转基因羊研究获重大突破
1998年2月9日 首届“鲁迅文学奖”评选揭晓
1998年2月9日 谢瓦尔德纳泽险遭炸弹袭击
1928年2月9日 夏明翰烈士就义
1881年2月9日 俄国作家陀思妥耶夫斯基逝世

************************************************************
02月10日

1895年2月10日 中日海战　刘步蟾自杀殉国
1837年2月10日 俄国诗人普希金逝世
1906年2月10日 英国第一艘“无畏”号战舰下水
1898年2月10日 戏剧大师布莱希特诞辰
1922年2月10日 印度国大党停止“不合作运动”
1923年2月10日 X射线的发现者伦琴逝世
1931年2月10日 王明提出“左”倾冒险主义的政治纲领
1938年2月10日 晋察冀边区实行减租减息
